,see_door,door_locked,see_key,has_key,see_goal
0,False,True,True,False,False
1,False,True,True,False,False
2,False,True,True,False,False
3,False,True,False,True,False
4,True,True,False,True,False
5,True,True,False,True,False
6,True,True,False,True,False
7,True,True,False,True,False
8,True,True,False,True,False
9,True,True,False,True,False
10,True,True,False,True,False
11,True,True,False,True,False
12,True,True,False,True,False
13,True,True,False,True,False
14,True,True,False,True,False
15,True,False,False,True,False
16,False,False,False,True,False
17,False,False,False,True,False
18,True,False,False,True,False
19,False,False,False,True,False
20,False,False,False,True,False
21,False,False,False,True,False
22,True,False,False,True,False
23,True,False,False,True,False
24,True,False,False,True,False
25,True,False,False,True,False
26,True,False,False,True,False
27,True,False,False,True,False
28,True,False,False,True,False
29,True,False,False,True,False
30,True,False,False,True,False
31,False,False,False,True,False
32,False,False,False,True,False
33,True,False,False,True,False
34,False,False,False,True,False
35,False,False,False,True,False
36,False,False,False,True,False
37,False,False,False,True,False
38,False,False,False,True,False
39,False,False,False,True,False
40,False,False,False,True,False
41,False,False,False,True,False
42,False,False,False,True,False
43,False,False,False,True,False
44,False,False,False,True,False
45,False,False,False,True,False
46,False,False,False,True,False
47,False,False,False,True,False
48,False,False,False,True,False
49,False,False,False,True,False
50,False,False,False,True,False
51,False,False,False,True,False
52,False,False,False,True,False
53,False,False,False,True,False
54,False,False,False,True,False
55,False,False,False,True,False
56,False,False,False,True,False
57,False,False,False,True,False
58,True,False,False,True,False
59,True,False,False,True,False
60,True,False,False,True,False
61,True,False,False,True,False
62,True,False,False,True,False
63,True,False,False,True,False
64,True,False,False,True,False
65,True,False,False,True,False
66,True,False,False,True,False
67,True,False,False,True,False
68,False,False,False,True,False
69,False,False,False,True,False
70,False,False,False,True,False
71,True,False,False,True,False
72,True,False,False,True,False
73,False,False,False,True,False
74,False,False,False,True,False
75,False,False,False,True,False
76,False,False,False,True,False
77,False,False,False,True,True
78,False,False,False,True,True
79,False,False,False,True,True
80,False,False,False,True,True
81,False,False,False,True,True
82,False,False,False,True,True
83,False,False,False,True,True
