,see_door,door_locked,see_key,has_key,see_goal
0,False,True,False,False,False
1,False,True,False,False,False
2,False,True,False,False,False
3,False,True,False,False,False
4,False,True,False,False,False
5,False,True,False,False,False
6,False,True,False,False,False
7,False,True,False,False,False
8,False,True,False,False,False
9,False,True,False,False,False
10,False,True,False,False,False
11,False,True,False,False,False
12,False,True,False,False,False
13,False,True,False,False,False
14,True,True,True,False,False
15,True,True,True,False,False
16,True,True,True,False,False
17,True,True,True,False,False
18,True,True,True,False,False
19,True,True,True,False,False
20,True,True,True,False,False
21,False,True,True,False,False
22,False,True,True,False,False
23,False,True,True,False,False
24,False,True,True,False,False
25,False,True,True,False,False
26,False,True,True,False,False
27,False,True,True,False,False
28,False,True,True,False,False
29,False,True,True,False,False
30,False,True,True,False,False
31,False,True,True,False,False
32,False,True,True,False,False
33,False,True,True,False,False
34,False,True,True,False,False
35,False,True,True,False,False
36,False,True,True,False,False
37,False,True,False,True,False
38,False,True,False,True,False
39,True,True,False,True,False
40,True,True,False,True,False
41,True,True,False,True,False
42,True,True,False,True,False
43,True,True,False,True,False
44,True,False,False,True,False
45,False,False,False,True,False
46,False,False,False,True,False
47,True,False,False,True,False
48,False,False,False,True,False
49,False,False,False,True,False
50,False,False,False,True,False
51,False,False,False,True,False
52,False,False,False,True,False
53,False,False,False,True,True
54,False,False,False,True,True
55,False,False,False,True,True
56,False,False,False,True,True
57,False,False,False,True,True
58,False,False,False,True,True
59,False,False,False,True,True
60,False,False,False,True,True
