,see_door,door_locked,see_key,has_key,see_goal
0,False,True,False,False,False
1,False,True,False,False,False
2,False,True,False,False,False
3,False,True,False,False,False
4,False,True,False,False,False
5,False,True,False,False,False
6,False,True,False,False,False
7,False,True,False,False,False
8,True,True,False,False,False
9,True,True,False,False,False
10,True,True,False,False,False
11,True,True,False,False,False
12,True,True,True,False,False
13,False,True,True,False,False
14,False,True,True,False,False
15,False,True,True,False,False
16,False,True,True,False,False
17,False,True,True,False,False
18,False,True,False,True,False
19,True,True,False,True,False
20,True,True,False,True,False
21,True,True,False,True,False
22,True,True,False,True,False
23,True,True,False,True,False
24,True,True,False,True,False
25,True,True,False,True,False
26,True,True,False,True,False
27,True,True,False,True,False
28,True,True,False,True,False
29,True,True,False,True,False
30,True,True,False,True,False
31,True,False,False,True,True
32,False,False,False,True,True
33,False,False,False,True,True
34,False,False,False,True,True
35,True,False,False,True,True
36,False,False,False,True,True
37,False,False,False,True,True
