,see_door,door_locked,see_key,has_key,see_goal
0,False,True,False,False,False
1,False,True,False,False,False
2,True,True,False,False,False
3,True,True,False,False,False
4,True,True,True,False,False
5,True,True,True,False,False
6,True,True,True,False,False
7,False,True,True,False,False
8,False,True,True,False,False
9,False,True,True,False,False
10,False,True,False,True,False
11,True,True,False,True,False
12,True,True,False,True,False
13,True,True,False,True,False
14,True,True,False,True,False
15,True,True,False,True,False
16,True,True,False,True,False
17,True,True,False,True,False
18,True,False,False,True,True
19,False,False,False,True,True
20,False,False,False,True,True
21,False,False,False,True,True
22,False,False,False,True,True
23,False,False,False,True,True
24,False,False,False,True,True
25,False,False,False,True,True
26,False,False,False,True,True
