,see_door,door_locked,see_key,has_key,see_goal
0,True,True,True,False,False
1,True,True,True,False,False
2,True,True,True,False,False
3,True,True,True,False,False
4,False,True,True,False,False
5,False,True,False,True,False
6,True,True,False,True,False
7,True,True,False,True,False
8,True,True,False,True,False
9,True,False,False,True,False
10,False,False,False,True,False
11,False,False,False,True,False
12,True,False,False,True,False
13,False,False,False,True,False
14,False,False,False,True,False
15,False,False,False,True,False
16,False,False,False,True,False
17,False,False,False,True,False
18,False,False,False,True,False
19,False,False,False,True,True
20,False,False,False,True,True
21,False,False,False,True,True
22,False,False,False,True,True
23,False,False,False,True,True
24,False,False,False,True,True
25,False,False,False,True,True
26,False,False,False,True,True
27,False,False,False,True,True
