,see_door,door_locked,see_key,has_key,see_goal
0,False,True,False,False,False
1,False,True,False,False,False
2,False,True,False,False,False
3,False,True,True,False,False
4,False,True,True,False,False
5,False,True,True,False,False
6,False,True,True,False,False
7,False,True,True,False,False
8,False,True,True,False,False
9,False,True,True,False,False
10,False,True,True,False,False
11,False,True,False,True,False
12,False,True,False,True,False
13,False,True,False,True,False
14,False,True,False,True,False
15,False,True,False,True,False
16,False,True,False,True,False
17,False,True,False,True,False
18,False,True,False,True,False
19,False,True,False,True,False
20,False,True,False,True,False
21,False,True,False,True,False
22,False,True,False,True,False
23,False,True,False,True,False
24,False,True,False,True,False
25,False,True,False,True,False
26,False,True,False,True,False
27,False,True,False,True,False
28,False,True,False,True,False
29,False,True,False,True,False
30,False,True,False,True,False
31,False,True,False,True,False
32,True,True,False,True,False
33,True,True,False,True,False
34,True,True,False,True,False
35,True,True,False,True,False
36,True,True,False,True,False
37,True,True,False,True,False
38,True,True,False,True,False
39,True,True,False,True,False
40,True,True,False,True,False
41,True,True,False,True,False
42,True,False,False,True,False
43,False,False,False,True,False
44,False,False,False,True,False
45,True,False,False,True,False
46,False,False,False,True,False
47,False,False,False,True,False
48,False,False,False,True,False
49,False,False,False,True,True
50,False,False,False,True,True
51,False,False,False,True,True
52,False,False,False,True,True
53,False,False,False,True,True
54,False,False,False,True,True
